statement,implicit_need
"“Remove negative people from your life.”. I always see this little tidbit in articles about how to overcome depression. Bitch, the most negative person in my life. not the problem, I am. I want to be friends with/date a cold stone like me either. So should I just remove myself from my life then??",need for self-acceptance
"“Remove negative people from your life.”. I always see this little tidbit in articles about how to overcome depression. Bitch, the most negative person in my life. not the problem, I am. I want to be friends with/date a cold stone like me either. So should I just remove myself from my life then??",need to not feel like a burden
"I don't really see a point in living if my life is like this. My depression is probably at the lowest point it's ever been and no matter how hard I try I can't seem to get any help. One small, completely irrelevant moment in my day can change me completely, and I really don't like who I am when that happens. Sometimes I have days when I'm so happy I literally shake, and every morning when I wake up feeling my usual shitty self I can't help but wish I was having another one, which just makes everything so much worse I just want to be normal again, instead of feeling like every day is another complete waste of time.",need to escape depression's grip
"I don't really see a point in living if my life is like this. My depression is probably at the lowest point it's ever been and no matter how hard I try I can't seem to get any help. One small, completely irrelevant moment in my day can change me completely, and I really don't like who I am when that happens. Sometimes I have days when I'm so happy I literally shake, and every morning when I wake up feeling my usual shitty self I can't help but wish I was having another one, which just makes everything so much worse I just want to be normal again, instead of feeling like every day is another complete waste of time.",need to control mood swings
"I don't really see a point in living if my life is like this. My depression is probably at the lowest point it's ever been and no matter how hard I try I can't seem to get any help. One small, completely irrelevant moment in my day can change me completely, and I really don't like who I am when that happens. Sometimes I have days when I'm so happy I literally shake, and every morning when I wake up feeling my usual shitty self I can't help but wish I was having another one, which just makes everything so much worse I just want to be normal again, instead of feeling like every day is another complete waste of time.",need to feel normal
"I can't be the only one to fantasize, right?. I have been spending a fair amount of time fantasizing about stuff lately. It's about tons of stuff really and I like falling to sleep while doing so. Does anyone else do this?",need to not be the only one fantasizing
"I can't be the only one to fantasize, right?. I have been spending a fair amount of time fantasizing about stuff lately. It's about tons of stuff really and I like falling to sleep while doing so. Does anyone else do this?",need to feel a sense of community around fantasies
"I can't be the only one to fantasize, right?. I have been spending a fair amount of time fantasizing about stuff lately. It's about tons of stuff really and I like falling to sleep while doing so. Does anyone else do this?",need to find relief in falling asleep while fantasizing
"wow, being yelled at that you're too negative sure makes me feel better!. it definitely doesn't make me feel worse or anything. yelling at a depressed person is definitely the correct choice, instead of being supportive.",need to assert authority
"wow, being yelled at that you're too negative sure makes me feel better!. it definitely doesn't make me feel worse or anything. yelling at a depressed person is definitely the correct choice, instead of being supportive.",need for recognition through criticism
"wow, being yelled at that you're too negative sure makes me feel better!. it definitely doesn't make me feel worse or anything. yelling at a depressed person is definitely the correct choice, instead of being supportive.",need to be perceived as a strict authority figure
"“Fetishizing sadness”?. I just finished binging BoJack Horseman, and something that gets brought up semi-regularly is your own What is this and how do I avoid it?",need to feel understood about BoJack Horseman
"“Fetishizing sadness”?. I just finished binging BoJack Horseman, and something that gets brought up semi-regularly is your own What is this and how do I avoid it?",need to not be influenced by TV
"“Fetishizing sadness”?. I just finished binging BoJack Horseman, and something that gets brought up semi-regularly is your own What is this and how do I avoid it?",need to discuss a sensitive topic
"Has anyone here had success with Mirtazapine (Remeron)?. I've tried Zoloft, Prozac, Citalopram and Venlafaxine (Effexor).",need to find effective medication
"Has anyone here had success with Mirtazapine (Remeron)?. I've tried Zoloft, Prozac, Citalopram and Venlafaxine (Effexor).",need to feel heard by others
"Has anyone here had success with Mirtazapine (Remeron)?. I've tried Zoloft, Prozac, Citalopram and Venlafaxine (Effexor).",need to not be embarrassed
I just want it all to be over already. it would be a whole lot easier than this shit,need to get relief from current situation
I just want it all to be over already. it would be a whole lot easier than this shit,need to not deal with difficult circumstances
I just want it all to be over already. it would be a whole lot easier than this shit,need to feel a sense of normalcy
"Just go into my dream school.... But my depressed ass doesn't even care that much. I really want to be thrilled but people keep saying congratulations and I feel nothing. Edit: can't even spell the title right. Got, not go",need to be heard
"Just go into my dream school.... But my depressed ass doesn't even care that much. I really want to be thrilled but people keep saying congratulations and I feel nothing. Edit: can't even spell the title right. Got, not go",need for recognition
"Just go into my dream school.... But my depressed ass doesn't even care that much. I really want to be thrilled but people keep saying congratulations and I feel nothing. Edit: can't even spell the title right. Got, not go",need to care
My spirit is broken.. And I can't stop thinking of suicide.,need to be heard and understood
My spirit is broken.. And I can't stop thinking of suicide.,need for self-worth to be acknowledged
My spirit is broken.. And I can't stop thinking of suicide.,need to escape the pain
"I feel like my only friends are the Youtubers I watch every day. And they're clearly not actually my friends... they just make me feel like friends are around, I like seeing familiar faces and hearing familiar voices joking around because that's the only time I get to experience that. How pathetic.",need to feel heard in the online community
"I feel like my only friends are the Youtubers I watch every day. And they're clearly not actually my friends... they just make me feel like friends are around, I like seeing familiar faces and hearing familiar voices joking around because that's the only time I get to experience that. How pathetic.",need for social validation
"I feel like my only friends are the Youtubers I watch every day. And they're clearly not actually my friends... they just make me feel like friends are around, I like seeing familiar faces and hearing familiar voices joking around because that's the only time I get to experience that. How pathetic.",need to not be alone
"I will never be anybody's favorite.. I will always be the backup, the good friend. Someone else will always be picked over me. I have never been somebody's very best friend, and I never will be. And that hurts, so very much.",need to not disappoint family
"I will never be anybody's favorite.. I will always be the backup, the good friend. Someone else will always be picked over me. I have never been somebody's very best friend, and I never will be. And that hurts, so very much.",need to feel heard in the group
"I will never be anybody's favorite.. I will always be the backup, the good friend. Someone else will always be picked over me. I have never been somebody's very best friend, and I never will be. And that hurts, so very much.",need to maintain professional reputation
"does anyone else find sunday the hardest day of the week?. I find myself at my lowest on sunday. probably because I have things to do, and places I'm expected to be. but sunday is just unbearable. anyone else?",need to not disappoint family
"does anyone else find sunday the hardest day of the week?. I find myself at my lowest on sunday. probably because I have things to do, and places I'm expected to be. but sunday is just unbearable. anyone else?",need to have things done
"does anyone else find sunday the hardest day of the week?. I find myself at my lowest on sunday. probably because I have things to do, and places I'm expected to be. but sunday is just unbearable. anyone else?",need to be at the right place
Has anyone here quit their job after a short period of time?. I'm thinking about doing that. I'm not happy at work.,need to feel heard
Has anyone here quit their job after a short period of time?. I'm thinking about doing that. I'm not happy at work.,need to quit job for happiness
Has anyone here quit their job after a short period of time?. I'm thinking about doing that. I'm not happy at work.,need to manage professional reputation
What does it feel like to love yourself?. It's a geniune question. I am curious because I've only hated myself.,need to be loved and valued
What does it feel like to love yourself?. It's a geniune question. I am curious because I've only hated myself.,need for self-acceptance
What does it feel like to love yourself?. It's a geniune question. I am curious because I've only hated myself.,need to break through negative self-talk
Feeling pointless. My life is feeling pointless and meaningless. My kids are almost grown and they're never here as it is. I have no career or anything to show for my life and just feeling worthless.,need to be appreciated by family
Feeling pointless. My life is feeling pointless and meaningless. My kids are almost grown and they're never here as it is. I have no career or anything to show for my life and just feeling worthless.,need to have a sense of purpose
Feeling pointless. My life is feeling pointless and meaningless. My kids are almost grown and they're never here as it is. I have no career or anything to show for my life and just feeling worthless.,need to be more involved in children's lives
im depressed. can someone lift me up for a bit?,need to feel lifted
im depressed. can someone lift me up for a bit?,need to be heard
im depressed. can someone lift me up for a bit?,need to not be alone
"Can I even consider family as family anymore?. I tried hanging myself a 2 weeks back, and my parents just stood there and watched. I failed, because the hook I attached the rope onto in the ceiling detached and I fell. My parents laughed and went to sleep a few minutes later, while I stayed awake the entire night. Can I even consider them family anymore?",need to not be judged by family
"Can I even consider family as family anymore?. I tried hanging myself a 2 weeks back, and my parents just stood there and watched. I failed, because the hook I attached the rope onto in the ceiling detached and I fell. My parents laughed and went to sleep a few minutes later, while I stayed awake the entire night. Can I even consider them family anymore?",need to be heard and understood
"Can I even consider family as family anymore?. I tried hanging myself a 2 weeks back, and my parents just stood there and watched. I failed, because the hook I attached the rope onto in the ceiling detached and I fell. My parents laughed and went to sleep a few minutes later, while I stayed awake the entire night. Can I even consider them family anymore?",need to feel a sense of belonging with parents
My brain is leaking.. Has anyone dreamt all night about some small task that needs to be done no matter how trivial it might be. I'm exhausted over a 5 minute project that won't matter if I do it or not.,need to complete task
My brain is leaking.. Has anyone dreamt all night about some small task that needs to be done no matter how trivial it might be. I'm exhausted over a 5 minute project that won't matter if I do it or not.,need for clarity
My brain is leaking.. Has anyone dreamt all night about some small task that needs to be done no matter how trivial it might be. I'm exhausted over a 5 minute project that won't matter if I do it or not.,need to delegate
"Die... tired, things are getting way too hard these days. I dont want to commit suicide, for now. I hope just die in my sleep.",need to not feel overwhelmed
"Die... tired, things are getting way too hard these days. I dont want to commit suicide, for now. I hope just die in my sleep.",need to find a way out
"Die... tired, things are getting way too hard these days. I dont want to commit suicide, for now. I hope just die in my sleep.",need to be free
How do you know if you have depression?. At what point can someone know? How can I diagnose myself?,need to be diagnosed accurately
How do you know if you have depression?. At what point can someone know? How can I diagnose myself?,need for self-diagnosing
How do you know if you have depression?. At what point can someone know? How can I diagnose myself?,need to understand own mental state
I just woke up in a puddle of my own piss.. I lay on a inflatable mattress so my cloths and my cover just absorbed everything. On top of that its so I was shaking from being soaked. Why does shit like this happen to me? Just when I thought things were okay stupid shit like this happens. Fml.,need to not be humiliated
I just woke up in a puddle of my own piss.. I lay on a inflatable mattress so my cloths and my cover just absorbed everything. On top of that its so I was shaking from being soaked. Why does shit like this happen to me? Just when I thought things were okay stupid shit like this happens. Fml.,need to have a sense of control
I just woke up in a puddle of my own piss.. I lay on a inflatable mattress so my cloths and my cover just absorbed everything. On top of that its so I was shaking from being soaked. Why does shit like this happen to me? Just when I thought things were okay stupid shit like this happens. Fml.,need for attention
"A friend just died. A friend of mine just died. I don't feel anything, there's something that is very wrong with me. I should be more sadder but no, nothing, nada.",need to not disappoint family
"A friend just died. A friend of mine just died. I don't feel anything, there's something that is very wrong with me. I should be more sadder but no, nothing, nada.",need to process grief
"A friend just died. A friend of mine just died. I don't feel anything, there's something that is very wrong with me. I should be more sadder but no, nothing, nada.",need to feel normal
Every single day I get closer to my eventual suicide.. Every single day it gets worse.,need to be heard and understood
Every single day I get closer to my eventual suicide.. Every single day it gets worse.,need for daily support
Every single day I get closer to my eventual suicide.. Every single day it gets worse.,need to not feel ashamed
Do you ever look back at the past few years of your life and realize how it has been slowly falling apart?. It makes me nauseous. I feel disgusted with myself.,need to not be disappointed
Do you ever look back at the past few years of your life and realize how it has been slowly falling apart?. It makes me nauseous. I feel disgusted with myself.,need to have a sense of control over the past
Do you ever look back at the past few years of your life and realize how it has been slowly falling apart?. It makes me nauseous. I feel disgusted with myself.,need to not feel ashamed
im really tired. every day is too much.,need to not be overwhelmed
im really tired. every day is too much.,need for a break
im really tired. every day is too much.,need to feel more grounded
I just got up the courage to ring Samaritans. The number on their website didn't work. Go figure.,need to get help from trusted source
I just got up the courage to ring Samaritans. The number on their website didn't work. Go figure.,need to not struggle with accessing support
I just got up the courage to ring Samaritans. The number on their website didn't work. Go figure.,need to make sense of confusing experience
I cannot sleep!. Please why can't my brain just relax :(,need to not be disturbed
I cannot sleep!. Please why can't my brain just relax :(,need to feel calm
I cannot sleep!. Please why can't my brain just relax :(,need to have a good night's rest
Invisible. Went out tonight with a few friends. Went completely unnoticed again. Almost got into a scrap with some affliction wearing jock fag. Uneventful night otherwise as always. Why even bother.,need to not be noticed
Invisible. Went out tonight with a few friends. Went completely unnoticed again. Almost got into a scrap with some affliction wearing jock fag. Uneventful night otherwise as always. Why even bother.,need to avoid conflict
Invisible. Went out tonight with a few friends. Went completely unnoticed again. Almost got into a scrap with some affliction wearing jock fag. Uneventful night otherwise as always. Why even bother.,need to feel heard
"Ever thought you were in a good, stable place and then one thing tips you off and you fall back down into the harrowing pit of despair so easily you question whether you'd made any progress at all ?. I just want to know and understand normal brain chemistry just once.",need to know and understand normal brain chemistry
"Ever thought you were in a good, stable place and then one thing tips you off and you fall back down into the harrowing pit of despair so easily you question whether you'd made any progress at all ?. I just want to know and understand normal brain chemistry just once.",need to not fall back into despair
"Ever thought you were in a good, stable place and then one thing tips you off and you fall back down into the harrowing pit of despair so easily you question whether you'd made any progress at all ?. I just want to know and understand normal brain chemistry just once.",need to understand progress
Anyone ever just want to disassociate from their emotions?. Emotions kinda suck. Maybe being a robot is better?,need to not be controlled by emotions
Anyone ever just want to disassociate from their emotions?. Emotions kinda suck. Maybe being a robot is better?,need to be accepted as non-emotional
Anyone ever just want to disassociate from their emotions?. Emotions kinda suck. Maybe being a robot is better?,need to escape emotional discomfort
Is this an attempt?. Is using your school id to make a noose and tie it around your neck a suicide attempt?,need to feel heard and validated
Is this an attempt?. Is using your school id to make a noose and tie it around your neck a suicide attempt?,need to not judge or shame
Is this an attempt?. Is using your school id to make a noose and tie it around your neck a suicide attempt?,need to explore reasons behind actions
Will she give me a diagnosis?. Hey! I will see my psychologist next week for the 4th time and I'm curious. Will she ever give me a diagnosis or a detailed speech about what's wrong with me? because if not I know I will feel like shit I will just think that I don't deserve help.,need to get diagnosis and understanding from the psychologist
Will she give me a diagnosis?. Hey! I will see my psychologist next week for the 4th time and I'm curious. Will she ever give me a diagnosis or a detailed speech about what's wrong with me? because if not I know I will feel like shit I will just think that I don't deserve help.,need to feel heard and understood in therapy
Will she give me a diagnosis?. Hey! I will see my psychologist next week for the 4th time and I'm curious. Will she ever give me a diagnosis or a detailed speech about what's wrong with me? because if not I know I will feel like shit I will just think that I don't deserve help.,need to be seen as deserving of help
"I'm terrified to seek help. I know I need help. Now. But I'm terrified, especially of what my bf will think. I know I shouldn't be but realistically it's a massive worry. I don't even know where to begin",need to not disappoint my bf
"I'm terrified to seek help. I know I need help. Now. But I'm terrified, especially of what my bf will think. I know I shouldn't be but realistically it's a massive worry. I don't even know where to begin",need for help from someone
"I'm terrified to seek help. I know I need help. Now. But I'm terrified, especially of what my bf will think. I know I shouldn't be but realistically it's a massive worry. I don't even know where to begin",need to overcome realistic worries
School is stressing me the fuck out. Makes everything feel so pointless,need to not be stressed
School is stressing me the fuck out. Makes everything feel so pointless,need to find purpose
School is stressing me the fuck out. Makes everything feel so pointless,need to feel heard
"I'm trying to set goals for myself this weekend but can't.... I just have no interest in living, doing anything for myself... I know that I should set some goals that accomplish something positive for myself but... I just can't... I can't think of anything I want to do...",need to not feel stuck
"I'm trying to set goals for myself this weekend but can't.... I just have no interest in living, doing anything for myself... I know that I should set some goals that accomplish something positive for myself but... I just can't... I can't think of anything I want to do...",need to set goals for self-acceptance
"I'm trying to set goals for myself this weekend but can't.... I just have no interest in living, doing anything for myself... I know that I should set some goals that accomplish something positive for myself but... I just can't... I can't think of anything I want to do...",need to not be forced to live
My friends started to hang out without me and have straight up ditched me. I don't know what to do about it,need to be included in social activities
My friends started to hang out without me and have straight up ditched me. I don't know what to do about it,need to feel heard and valued by friends
My friends started to hang out without me and have straight up ditched me. I don't know what to do about it,need to resolve the situation with friends
I hate being so numb that I can't even force myself to cry.. I just want to feel something other than empty hopeless despair. Even if it isn't real.,need to be able to express emotions
I hate being so numb that I can't even force myself to cry.. I just want to feel something other than empty hopeless despair. Even if it isn't real.,need to not feel hopeless
I hate being so numb that I can't even force myself to cry.. I just want to feel something other than empty hopeless despair. Even if it isn't real.,need to feel genuine emotional response
"Why take anti-depressants? I don't understand. Why? If you do, than you aren't yourself. I want to be myself. I don't want to be some drugged-up person who isn't really me.",need to not feel artificially controlled
"Why take anti-depressants? I don't understand. Why? If you do, than you aren't yourself. I want to be myself. I don't want to be some drugged-up person who isn't really me.",need to be truly oneself
"Why take anti-depressants? I don't understand. Why? If you do, than you aren't yourself. I want to be myself. I don't want to be some drugged-up person who isn't really me.",need to be myself
"I can't cry anymore. I haven't cried in over two years, I don't think I am anything anymore.",need to feel worthy again
"I can't cry anymore. I haven't cried in over two years, I don't think I am anything anymore.",need to be recognized as a good person
"I can't cry anymore. I haven't cried in over two years, I don't think I am anything anymore.",need to regain emotional stability
"Is this depression?. I feel empty inside sometimes. There's nothing there. No thoughts, no emotions, nothing. I'm just hollow.",need to understand and make sense of my feelings
"Is this depression?. I feel empty inside sometimes. There's nothing there. No thoughts, no emotions, nothing. I'm just hollow.",need to not feel empty or disconnected
"Is this depression?. I feel empty inside sometimes. There's nothing there. No thoughts, no emotions, nothing. I'm just hollow.",need to have thoughts and emotions
When your friends all abandon you and you forgot what it's like to bottle everything. Having to go back to sucking it up and holding everything in and not having anybody to turn to hurts so much. Especially when I was used to somebody caring about me. That's what happens when your just disposable I guess.,need to be loved and valued
When your friends all abandon you and you forgot what it's like to bottle everything. Having to go back to sucking it up and holding everything in and not having anybody to turn to hurts so much. Especially when I was used to somebody caring about me. That's what happens when your just disposable I guess.,need for emotional validation
When your friends all abandon you and you forgot what it's like to bottle everything. Having to go back to sucking it up and holding everything in and not having anybody to turn to hurts so much. Especially when I was used to somebody caring about me. That's what happens when your just disposable I guess.,need to be taken care of
Books to read that can help me with my anxiety. Hi everyone. It is a very difficult time in my life right now and would like to start reading some uplifting books to get my mind on other thoughts.. Any book recommendations?,need to manage anxiety
Books to read that can help me with my anxiety. Hi everyone. It is a very difficult time in my life right now and would like to start reading some uplifting books to get my mind on other thoughts.. Any book recommendations?,need for book recommendations
Books to read that can help me with my anxiety. Hi everyone. It is a very difficult time in my life right now and would like to start reading some uplifting books to get my mind on other thoughts.. Any book recommendations?,need to shift from current situation
First thought every time I wake up. Is how and should you kill yourself today. be a good sign.,need to feel heard
First thought every time I wake up. Is how and should you kill yourself today. be a good sign.,need for self-care
First thought every time I wake up. Is how and should you kill yourself today. be a good sign.,need to not disappoint
"What's the point?. Why am I supposed to stay alive? I don't want to reproduce and I don't care for anyone in my life. I don't see a point, especially if I'm just going to die in the end.",need to find purpose
"What's the point?. Why am I supposed to stay alive? I don't want to reproduce and I don't care for anyone in my life. I don't see a point, especially if I'm just going to die in the end.",need to not be controlled
"What's the point?. Why am I supposed to stay alive? I don't want to reproduce and I don't care for anyone in my life. I don't see a point, especially if I'm just going to die in the end.",need to avoid pain
"For the first time in a month or two I brushed my teeth and washed my face.. Everything seems to be too difficult to deal with, but at least I could get myself to do these simple tasks again.",need to feel capable of self-care
"For the first time in a month or two I brushed my teeth and washed my face.. Everything seems to be too difficult to deal with, but at least I could get myself to do these simple tasks again.",need for simplicity
"For the first time in a month or two I brushed my teeth and washed my face.. Everything seems to be too difficult to deal with, but at least I could get myself to do these simple tasks again.",need to not be overwhelmed
The woman I love is getting married in 2 weeks. I'm in denial. I'm in pain. She's all I want.,need to accept her decision
The woman I love is getting married in 2 weeks. I'm in denial. I'm in pain. She's all I want.,need to not be rejected
The woman I love is getting married in 2 weeks. I'm in denial. I'm in pain. She's all I want.,need to maintain relationship
When was the last time.... Someone gave you a hug?,need to feel loved
When was the last time.... Someone gave you a hug?,need to be remembered
When was the last time.... Someone gave you a hug?,need to not feel forgotten
What's the point sometimes?. I try and fail. I try again and fail again. I want to fix my Playstation and get lost.,need to succeed
What's the point sometimes?. I try and fail. I try again and fail again. I want to fix my Playstation and get lost.,need for validation of efforts
What's the point sometimes?. I try and fail. I try again and fail again. I want to fix my Playstation and get lost.,need to fix the broken item
I could easily do it right now. It seems so easy to me. Nobody cares now. But they all will soon.,need to be taken seriously
I could easily do it right now. It seems so easy to me. Nobody cares now. But they all will soon.,need for others to recognize my expertise
I could easily do it right now. It seems so easy to me. Nobody cares now. But they all will soon.,need to avoid criticism
Do non depressed people really not think about suicide?. Even when I wouldn't have concidered myself depressed I still thought about it quite often. It blows my mind when people say they have never thought about suicide. I feel like everyone has at least thought about it once right?,need to be understood and validated
Do non depressed people really not think about suicide?. Even when I wouldn't have concidered myself depressed I still thought about it quite often. It blows my mind when people say they have never thought about suicide. I feel like everyone has at least thought about it once right?,need to process complex emotions
Do non depressed people really not think about suicide?. Even when I wouldn't have concidered myself depressed I still thought about it quite often. It blows my mind when people say they have never thought about suicide. I feel like everyone has at least thought about it once right?,need to challenge societal norms
help please. what do you say when someone says everything is wrong,need to be heard
help please. what do you say when someone says everything is wrong,need for reassurance
help please. what do you say when someone says everything is wrong,need to find a solution
I just want to drive away from this city and start again.... But I don't have a car.,need to have a vehicle
I just want to drive away from this city and start again.... But I don't have a car.,need to escape current circumstances
I just want to drive away from this city and start again.... But I don't have a car.,need for financial security
Will things ever start looking up. I'm on a downward spiral with no hope,need to get out of financial struggles
Will things ever start looking up. I'm on a downward spiral with no hope,need for reassurance and hope
Will things ever start looking up. I'm on a downward spiral with no hope,need to break through current situation
Oh ya. Fuck living!!!!! Wish I was dead!!!!!! I fucking hate life,need to not feel stuck in a situation
Oh ya. Fuck living!!!!! Wish I was dead!!!!!! I fucking hate life,need to release frustration
Oh ya. Fuck living!!!!! Wish I was dead!!!!!! I fucking hate life,need for more control
"I'm so touch starved that I physically cannot fall asleep unless I have two pillows either side of me.. One for hugging, one for warmth. I genuinely look forward to going to bed. Those mornings where I wake up earlier then usual and can indulge in some daydreams while feeling completely safe and calm are my favourite.",need to have a pillow for hugging
"I'm so touch starved that I physically cannot fall asleep unless I have two pillows either side of me.. One for hugging, one for warmth. I genuinely look forward to going to bed. Those mornings where I wake up earlier then usual and can indulge in some daydreams while feeling completely safe and calm are my favourite.",need to enjoy mornings with daydreams
"Don't you hate it when.... ... you feel so guilty about living your life and being a burden to everyone, so you decide to commit suicide. But you can't because you feel too guilty about making others around you devastated because of your death.",need to avoid hurting family
"Don't you hate it when.... ... you feel so guilty about living your life and being a burden to everyone, so you decide to commit suicide. But you can't because you feel too guilty about making others around you devastated because of your death.",need for others to be okay with own life choices
"Don't you hate it when.... ... you feel so guilty about living your life and being a burden to everyone, so you decide to commit suicide. But you can't because you feel too guilty about making others around you devastated because of your death.",need to not feel overwhelmed by responsibility
Wish me bday!. I have been severely depressed since last few weeks and thought my bday would be just as awful. But it's actually turning out great. I am actually happy it's my bday ! :),need to express oneself freely
Wish me bday!. I have been severely depressed since last few weeks and thought my bday would be just as awful. But it's actually turning out great. I am actually happy it's my bday ! :),need to find a sense of normalcy
Wish me bday!. I have been severely depressed since last few weeks and thought my bday would be just as awful. But it's actually turning out great. I am actually happy it's my bday ! :),need to not be judged
There is no help. Somebody just fucking kill me. There's nothing I can do,need to be rescued from this situation
There is no help. Somebody just fucking kill me. There's nothing I can do,need for emotional release
There is no help. Somebody just fucking kill me. There's nothing I can do,need to end suffering
"Lonely. I feel so alone. It's been going on for awhile now. There are people around me all the time, but it's like I'm invisible. I just want it to end. Loneliness really hurts. It's gotten to a really bad point. I may as well be gone.",need to feel seen and heard by others
"Lonely. I feel so alone. It's been going on for awhile now. There are people around me all the time, but it's like I'm invisible. I just want it to end. Loneliness really hurts. It's gotten to a really bad point. I may as well be gone.",need for social connection
"Lonely. I feel so alone. It's been going on for awhile now. There are people around me all the time, but it's like I'm invisible. I just want it to end. Loneliness really hurts. It's gotten to a really bad point. I may as well be gone.",need to end this lonely feeling
"I love lying to customers. How are you? Good, Thank you!",need to deceive for benefit
"I love lying to customers. How are you? Good, Thank you!",need to maintain authority
"I love lying to customers. How are you? Good, Thank you!",need to not be judged
"I can’t get up. I am in bed awake. I need to go to work, but I move. I feel awful about it, I just need to get up. I took yesterday off, I take today off too",need to not disappoint family
"I can’t get up. I am in bed awake. I need to go to work, but I move. I feel awful about it, I just need to get up. I took yesterday off, I take today off too",need to save energy
"I can’t get up. I am in bed awake. I need to go to work, but I move. I feel awful about it, I just need to get up. I took yesterday off, I take today off too",need to be at work
Can somebody tell me it'll be okay?. That I'm doing fine? That I don't have to be perfect and that I haven't really done anything wrong?,need to be acknowledged and accepted
Can somebody tell me it'll be okay?. That I'm doing fine? That I don't have to be perfect and that I haven't really done anything wrong?,need to feel relief from judgment
Can somebody tell me it'll be okay?. That I'm doing fine? That I don't have to be perfect and that I haven't really done anything wrong?,need to not be judged as imperfect
im fucked. im fucked.my whole life is fucked,need to be heard and understood
im fucked. im fucked.my whole life is fucked,need for control over situation
im fucked. im fucked.my whole life is fucked,need to not feel embarrassed
Why?. The question i often ask myself...Why? Whats wrong with me?,need to understand oneself
Why?. The question i often ask myself...Why? Whats wrong with me?,need to find the purpose
Why?. The question i often ask myself...Why? Whats wrong with me?,need to be like everyone else
Am I the only one ?. Is anyone not going to school or work?,need to be acknowledged
Am I the only one ?. Is anyone not going to school or work?,need for others to prioritize education
Am I the only one ?. Is anyone not going to school or work?,need to not feel abandoned
"Do you cope well with Bipolar Disorder and if so, how do you do it?. And if you don't, why not?",need to be taken seriously
"Do you cope well with Bipolar Disorder and if so, how do you do it?. And if you don't, why not?",need to understand emotions
"Do you cope well with Bipolar Disorder and if so, how do you do it?. And if you don't, why not?",need to respect mental health
"melancholic. I'm not depressed. I've been depressed a few years ago and I know what that was like - the mindset I was in where I beat myself up, felt shitty about everything I did, thought constantly about suicide, had weird emotions about my close friends/family and pushed them out..... i'm not there anymore. this isn't depression.  where i am now...i'm just not happy. nothing i do makes me happy. it doesn't mean i'm sad, or that i beat myself up, or i'm suicidal. i can have confidence in myself yet also not find joy in my life, and that's where i am right now.  i don't know what's worse. at least before i sort of knew how to get out of that mindset....",need to not be judged
"melancholic. I'm not depressed. I've been depressed a few years ago and I know what that was like - the mindset I was in where I beat myself up, felt shitty about everything I did, thought constantly about suicide, had weird emotions about my close friends/family and pushed them out..... i'm not there anymore. this isn't depression.  where i am now...i'm just not happy. nothing i do makes me happy. it doesn't mean i'm sad, or that i beat myself up, or i'm suicidal. i can have confidence in myself yet also not find joy in my life, and that's where i am right now.  i don't know what's worse. at least before i sort of knew how to get out of that mindset....",need to have confidence in oneself
"melancholic. I'm not depressed. I've been depressed a few years ago and I know what that was like - the mindset I was in where I beat myself up, felt shitty about everything I did, thought constantly about suicide, had weird emotions about my close friends/family and pushed them out..... i'm not there anymore. this isn't depression.  where i am now...i'm just not happy. nothing i do makes me happy. it doesn't mean i'm sad, or that i beat myself up, or i'm suicidal. i can have confidence in myself yet also not find joy in my life, and that's where i am right now.  i don't know what's worse. at least before i sort of knew how to get out of that mindset....",need to know what's better
I'll never be anyone's priority.... even though they are mine. :(,need to feel acknowledged
I'll never be anyone's priority.... even though they are mine. :(,need to not be prioritized
I'll never be anyone's priority.... even though they are mine. :(,need to have mixed priorities
"I get a horrible comedown after fun days of socializing. After good times with friends, I get home and feel exceptionally lonely and empty.. Maybe being an introvert it is just a draining affect? I dunno. It stinks when depression smacks you in the face after a while of feeling ok or even good.",need to not feel drained
"I get a horrible comedown after fun days of socializing. After good times with friends, I get home and feel exceptionally lonely and empty.. Maybe being an introvert it is just a draining affect? I dunno. It stinks when depression smacks you in the face after a while of feeling ok or even good.",need for alone time
"I get a horrible comedown after fun days of socializing. After good times with friends, I get home and feel exceptionally lonely and empty.. Maybe being an introvert it is just a draining affect? I dunno. It stinks when depression smacks you in the face after a while of feeling ok or even good.",need to acknowledge and accept depression
"Depression and capitalism. Does anyone else feel the way we have set up our western societies has helped trigger depression? I know when I think about life, surviving constantly but never happy, never truly living I become immortalised in depression and anger. Sometimes I feel buying land, living with a bunch of like minded folks and working as a mini community would help my feelings of utter contempt for life.",need to not feel stuck in depression
"Depression and capitalism. Does anyone else feel the way we have set up our western societies has helped trigger depression? I know when I think about life, surviving constantly but never happy, never truly living I become immortalised in depression and anger. Sometimes I feel buying land, living with a bunch of like minded folks and working as a mini community would help my feelings of utter contempt for life.",need to find alternative way of living
"Depression and capitalism. Does anyone else feel the way we have set up our western societies has helped trigger depression? I know when I think about life, surviving constantly but never happy, never truly living I become immortalised in depression and anger. Sometimes I feel buying land, living with a bunch of like minded folks and working as a mini community would help my feelings of utter contempt for life.",need to validate own emotions
"does anyone ever feel like this?. You feel sad, but you don't know what you're sad about?",need to find out what's causing the sadness
"does anyone ever feel like this?. You feel sad, but you don't know what you're sad about?",need to make sense of emotions
"does anyone ever feel like this?. You feel sad, but you don't know what you're sad about?",need to be understood
Anyone else not want a funeral or any services?. It gives me anxiety just thinking about it.,need to avoid overwhelming emotions
Anyone else not want a funeral or any services?. It gives me anxiety just thinking about it.,need to minimize public exposure
Anyone else not want a funeral or any services?. It gives me anxiety just thinking about it.,need to not feel trapped
